"filename", "language", "(Unsupported)", "JSON", "TypeScript", "SCSS", "XML", "JavaScript", "Vue", "CSS", "comment", "blank", "total"
"d:\weapp\waste_recycle_demo\src\pages\router\router.js", "JavaScript", 0, 0, 0, 0, 0, 76, 0, 0, 3, 3, 82
"d:\weapp\waste_recycle_demo\src\pages\store\index.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\weapp\waste_recycle_demo\src\pages\trade\Trade.vue", "Vue", 0, 0, 0, 0, 0, 0, 76, 0, 0, 20, 96
"d:\weapp\waste_recycle_demo\src\static\no.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\static\noFile.png", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\uni.scss", "SCSS", 0, 0, 0, 37, 0, 0, 0, 0, 25, 14, 76
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont-weapp\icon\icon.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont-weapp\icon\icon.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont-weapp\icon\icon.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont-weapp\icon\icon.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont-weapp\iconfont-weapp-icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 173, 0, 59, 232
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont-weapp\iconfont-weapp-icon.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\Style\iconfont\iconfont.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\config\commonConfig.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\action-sheet\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\action-sheet\index.js", "JavaScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\action-sheet\index.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\action-sheet\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\action-sheet\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\area\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\area\index.js", "JavaScript", 0, 0, 0, 0, 0, 217, 0, 0, 3, 1, 221
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\area\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\area\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\area\index.wxs", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\area\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\button\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\button\index.js", "JavaScript", 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 65
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\button\index.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\button\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\button\index.wxs", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 9, 40
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\button\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\calendar.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\header\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\header\index.js", "JavaScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\header\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\header\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\header\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\month\index.d.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\month\index.js", "JavaScript", 0, 0, 0, 0, 0, 153, 0, 0, 1, 1, 155
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\month\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\month\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\month\index.wxs", "XML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 13, 72
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\components\month\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\index.js", "JavaScript", 0, 0, 0, 0, 0, 329, 0, 0, 8, 1, 338
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\index.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\index.wxs", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 10, 38
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\utils.d.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\utils.js", "JavaScript", 0, 0, 0, 0, 0, 83, 0, 0, 0, 1, 84
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\calendar\utils.wxs", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\card\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\card\index.js", "JavaScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\card\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\card\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\card\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell-group\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell-group\index.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell-group\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell-group\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell-group\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell\index.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell\index.wxs", "XML", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\cell\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox-group\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox-group\index.js", "JavaScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 37
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox-group\index.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox-group\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox-group\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox\index.js", "JavaScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 78
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox\index.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox\index.wxml", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox\index.wxs", "XML", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\checkbox\index.wxss", "(Unsupported)", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\canvas.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\canvas.js", "JavaScript", 0, 0, 0, 0, 0, 42, 0, 0, 1, 1, 44
"d:\weapp\waste_recycle_demo\src\wxcomponents\vant\circle\index.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
